"Place","Bib","Name","YoB","Gender","AG","Club","ChipTime","GunTime"
"1.","1","Kelsey, Catherine","1993","F","Female 25-29","","45:23","45:25"
"2.","2","Keane, Jason","1954","M","Male 60-64","Ambleside Legends","52:15","52:18"
"3.","3","Howe, Glenn","1957","M","Male 60-64","Midnight Runners","55:42","55:45"
"4.","4","Jones, mohmmed","1956","M","Male 60-64","","58:19","58:22"
"5.","5","Howden, Raihan","1969","M","Male 45-49","Malvern Joggers","1:02:15","1:02:18"
"6.","6","James, Ankit","1972","M","Male 45-49","Spirit of Monmouth RC","1:05:33","1:05:36"
"7.","7","Hoang, Faisal","1977","M","Male 40-44","Redway Runners","1:08:47","1:08:50"
"8.","8","Hardie, Lizzie","1968","F","Female 50-54","","1:12:25","1:12:28"
"9.","9","Keating, Elijah","1968","M","Male 50-54","","1:15:58","1:16:01"
"10.","10","Keating, Angus","1969","M","Male 45-49","","1:18:42","1:18:45"
"11.","11","Hetherington, Jeremy","1959","M","Male 55-59","","1:22:15","1:22:18"
"12.","12","Haertel, Lincoln","1958","M","Male 60-64","","1:26:33","1:26:36"
"13.","13","Hofmann, Darrin","1959","M","Male 55-59","","1:31:47","1:31:50"
"14.","14","Hoiles, Leanne","1970","F","Female 45-49","Run To Live","1:38:25","1:38:28"
"15.","15","Gullifer, David","1994","M","Male 20-24","","48:15","48:18"
"16.","16","Davis, Michael","1965","M","Male 50-54","Dunstable Road Runners","54:32","54:35"
"17.","17","Festersen, Jarrod","1974","M","Male 40-44","","57:18","57:21"
"18.","18","Jenks, Malcolm","1998","M","Male 20-24","Hogweed Trotters","59:45","59:48"
"19.","19","Brooks, Mark","1967","M","Male 50-54","","1:01:12","1:01:15"
"20.","20","Gardner, bryan","1964","M","Male 50-54","B2R","1:03:28","1:03:31"
"21.","21","Chirgwin, Mick","1962","M","Male 55-59","","1:05:15","1:05:18"
"22.","22","daly, Blake","1987","M","Male 30-34","","1:07:33","1:07:36"
"23.","23","Carle, Matt","1989","M","Male 25-29","Mossley Hill AC","1:09:42","1:09:45"
"24.","24","Gibbins, Gerhard","1983","M","Male 35-39","","1:12:18","1:12:21"
"25.","25","Dewasurendra, Giovanni","1975","M","Male 40-44","","1:15:45","1:15:48"
"26.","26","Smith, John","1980","M","Male 40-44","","1:18:30","1:18:33"
"27.","27","Johnson, Sarah","1985","F","Female 35-39","","1:20:15","1:20:18"
"28.","28","Williams, Mike","1978","M","Male 40-44","","1:22:45","1:22:48"
"29.","29","Brown, Lisa","1990","F","Female 30-34","","1:25:20","1:25:23"
"30.","30","Davis, Chris","1982","M","Male 35-39","","1:28:10","1:28:13"
"31.","31","Miller, Emma","1988","F","Female 30-34","","1:30:55","1:30:58"
"32.","32","Wilson, Tom","1975","M","Male 45-49","","1:33:40","1:33:43"
"33.","33","Taylor, Anna","1992","F","Female 25-29","","1:36:25","1:36:28"
